type,strongAgainst,weakAgainst,No Effect (0Ã—)
Normal,,,Ghost
Fire,"grass, bug, ice, steel","fire, water, rock, dragon",
Water,"fire, ground, rock","water, grass, dragon",
Grass,"water, ground, rock","fire, grass, poison, flying, bug, dragon, steel",
Electric,"water, flying, ","electric, grass, dragon",ground
Ice,"grass, ground, flying, dragon","fire, water, ice, steel",
Fighting,"normal, ice, bug, dark, steel","poison, flying, psychic, bug, fairy",ghost
Poison,"grass, fairy","poison, ground, rock, ghost",steel
Ground,"fire, electric, ground, rock, steel","grass, bug",flying
Flying,"grass, fighting, bug","electric, rock, steel",
Psychic,"fighting, poison","psychic, steel, ",dark
Bug,"grass, psychic, dark","fire, fighting, poison, flying, rock, steel, fairy",
Rock,"fire, ice, flying, bug","fighting, ground, steel",
Ghost,"flying, ghost, ",dark,
Dragon,dragon,steel,
Dark,"psychic, ghost","fighting, dragon, fairy",
Steel,"ice, rock, fairy","fire, water, electric, dark",
Fairy,"fighting, dragon, dark","fire, poison, steel",
